id,objectType,ownerId,updatedAt,createdAt,title,description,geometry,Attribution,Category,Color,ConnectedObjectType,ConnectedTo,ConnectedToExternalId,Deleted,ExternalId,FormerExternalId,IconCategory,Keyword,NewTrackedObject,NoAutoArchive,Reminder,SIMULATED,SessionId,Shape,otherTags
3gEvD95bhXWbuyk-9uQ2qw,POI,v6x2stTEE5njhCn1gSYVsA,2023-05-12T09:12:51.839152Z,2023-04-27T16:01:29.315986Z,Give us feedback!,,"{""type"":""Point""_COMMA_""coordinates"":[13.386186337134404_COMMA_52.50173960536446]}",,,Yellow,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Clipboard,formation-hq-office-floor-0,,,,,,Square,"PollVote:f825432e-c8be-4e3d-bc84-9d989a1a7acc|T6ljbcDJTYti8gUsLZAGlQ,BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
IPvLbuOm2mwnuIKimfwe7Q,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T10:00:18.749702Z,2023-04-28T09:58:59.725046Z,Bosch Startup Harbour,,"{""type"":""Point""_COMMA_""coordinates"":[13.387354374441657_COMMA_52.454004502862404]}",,,Turquoise,,,,,,,Flag,,,,,,,Circle,"ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
PBzJe5keOkRulGergT2Fgg,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T09:58:15.889577Z,2023-04-28T09:58:15.068394Z,XAI Labs,,"{""type"":""Point""_COMMA_""coordinates"":[13.407524660513332_COMMA_52.50358159478208]}",,,AquaMarine,,,,,,,Flag,,,,,,,Circle,"ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
dL-VZF02fRxppKPqXd2oYw,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:09:59.175877Z,2023-04-27T13:35:19.494748Z,Desk 10,,"{""type"":""Point""_COMMA_""coordinates"":[13.386372677897953_COMMA_52.50178986487549]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,ICKEJC7B7Y,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
XA6sh_q9i4vglFUccqyr0w,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:09:39.265658Z,2023-04-27T13:35:05.989519Z,Desk 9,,"{""type"":""Point""_COMMA_""coordinates"":[13.386380144045688_COMMA_52.501774667854136]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,E67YKF46ZK,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
XEFSOLT90fuA3p8F8_YgJw,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:09:08.956811Z,2023-04-27T13:34:54.324198Z,Desk 8,,"{""type"":""Point""_COMMA_""coordinates"":[13.386398576048691_COMMA_52.50175279547901]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,"I0W7I2Q5GS,OL39943L4R",,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
XapWoHUiKoa_qGz0s68Tng,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:08:48.963148Z,2023-04-27T13:34:44.688371Z,Desk 7,,"{""type"":""Point""_COMMA_""coordinates"":[13.38637547771691_COMMA_52.50174995491611]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
UB6E1fkE7V7w1gCEAcaOkg,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:08:25.467348Z,2023-04-27T13:34:18.912614Z,Desk 6,,"{""type"":""Point""_COMMA_""coordinates"":[13.386409541978082_COMMA_52.501728792678165]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,DMH0QQZ67N,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
ztJ7WcGfsmqCd4vv-fXuUw,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:07:58.863538Z,2023-04-27T13:34:29.289071Z,Desk 5,,"{""type"":""Point""_COMMA_""coordinates"":[13.386388543456746_COMMA_52.50172509992831]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,SXHD5CV0C4,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
woE2oivHHmdoG7179H_R5Q,POI,v6x2stTEE5njhCn1gSYVsA,2023-04-28T07:07:38.472190Z,2023-04-27T13:33:18.031775Z,Desk 4,,"{""type"":""Point""_COMMA_""coordinates"":[13.386399509415696_COMMA_52.50171487392788]}",,,DarkBlue,Floor,8OXS99gyEsVPm82Z2Cx5rA,formation-hq-office-floor-0,,UZRPKBVX8F,,Desk,"bookable,desk,formation-hq-office-floor-0",,,,,,Square,"BuildingId:WqX_9rx3kuAJE4XjnqSqFQ,FloorId:8OXS99gyEsVPm82Z2Cx5rA,FloorLevel:0.0,ObjectType:POI,Creator:v6x2stTEE5njhCn1gSYVsA:Jilles Van Gup"
